name,playerid,team,cost,position,lockdown_points,value,
Hugo_Lloris,383,17,55,1,47,0.855,1
Ederson_Santana de Moraes,278,12,60,1,51,0.850,1
Alex_McCarthy,363,16,45,1,36,0.800,
Nick_Pope,96,4,55,1,42,0.764,
Emiliano_Martínez,12,1,45,1,33,0.733,
Mathew_Ryan,70,3,45,1,33,0.733,
David_de Gea,291,13,55,1,40,0.727,
Dean_Henderson,305,13,55,1,38,0.691,
Kasper_Schmeichel,217,9,55,1,37,0.673,
Rui Pedro_dos Santos Patrício,455,20,55,1,37,0.673,
Jordan_Pickford,157,7,50,1,33,0.660,
Aaron_Ramsdale,483,15,50,1,30,0.600,
Alisson_Ramses Becker,252,11,60,1,33,0.550,
Martin_Dubravka,326,14,50,1,25,0.500,
Lukasz_Fabianski,431,19,50,1,24,0.480,
Kepa_Arrizabalaga,112,5,50,1,21,0.420,
Vicente_Guaita,128,6,50,1,21,0.420,
Ørjan_Nyland,35,2,40,1,12,0.300,
Bernd_Leno,8,1,50,1,6,0.120,
Willy_Caballero,101,5,50,1,6,0.120,
Simon_Moore,348,15,45,1,2,0.044,
Wayne_Hennessey,126,6,45,1,1,0.022,
Adrián_San Miguel del Castillo,245,11,45,1,0,0.000,
Angus_Gunn,371,16,45,1,0,0.000,
Bailey_Peacock-Farrell,99,4,40,1,0,0.000,
Claudio_Bravo,267,12,45,1,0,0.000,
Danny_Ward,223,9,45,1,0,0.000,
Darren_Randolph,430,19,45,1,0,0.000,
David_Button,56,18,40,1,0,0.000,
David_Martin,429,19,40,1,0,0.000,
Jed_Steer,32,2,40,1,0,0.000,
Joe_Hart,482,17,45,1,0,0.000,
John_Ruddy,453,20,45,1,0,0.000,
Jonas_Lössl,151,7,45,1,0,0.000,
Karl_Darlow,325,14,50,1,0,0.000,
Paulo_Gazzaniga,393,17,45,1,0,0.000,
Roberto_Jimenez Gago,433,19,45,1,0,0.000,
Sergio_Romero,289,13,50,1,0,0.000,
Tom_Heaton,28,2,45,1,0,0.000,
Jonathan_Castro Otto,462,20,55,2,49,0.891,1
Matt_Doherty,457,17,60,2,50,0.833,1
John_Egan,353,15,50,2,39,0.780,1
Erik_Pieters,83,4,45,2,35,0.778,1
Ezri_Konsa Ngoyo,46,2,45,2,35,0.778,1
Aaron_Wan-Bissaka,313,13,55,2,42,0.764,
James_Tarkowski,81,4,55,2,42,0.764,
Lewis_Dunk,62,3,50,2,38,0.760,
Victor_Lindelöf,308,13,50,2,37,0.740,
Serge_Aurier,389,17,55,2,39,0.709,
César_Azpilicueta,102,5,60,2,42,0.700,
Conor_Coady,459,20,50,2,35,0.700,
Michael_Keane,156,7,50,2,35,0.700,
Aymeric_Laporte,280,12,60,2,41,0.683,
Kyle_Walker,270,12,60,2,41,0.683,
Tyrone_Mings,41,2,50,2,34,0.680,
Kieran_Tierney,17,1,55,2,37,0.673,
Willy_Boly,458,20,55,2,37,0.673,
Phil_Bardsley,82,4,45,2,30,0.667,
Chris_Basham,345,15,50,2,33,0.660,
Charlie_Taylor,97,4,45,2,29,0.644,
Dan_Burn,61,3,45,2,29,0.644,
Andrew_Robertson,255,11,70,2,44,0.629,
Ben_Davies,395,17,50,2,31,0.620,
Harry_Maguire,298,13,55,2,34,0.618,
Lucas_Digne,155,7,60,2,37,0.617,
Romain_Saïss,461,20,50,2,30,0.600,
Trent_Alexander-Arnold,259,11,75,2,44,0.587,
Enda_Stevens,347,15,55,2,32,0.582,
Kyle_Walker-Peters,375,16,45,2,26,0.578,
Virgil_van Dijk,250,11,65,2,37,0.569,
Toby_Alderweireld,386,17,55,2,31,0.564,
Tariq_Lamptey,77,3,45,2,25,0.556,
Eric_Garcia,288,12,50,2,27,0.540,
Ryan_Bertrand,362,16,50,2,26,0.520,
Javier_Manquillo,332,14,45,2,23,0.511,
George_Baldock,351,15,55,2,27,0.491,
Issa_Diop,451,19,45,2,22,0.489,
James_Justin,239,9,45,2,22,0.489,
Jan_Bednarek,376,16,45,2,22,0.489,
Ben_Mee,88,4,50,2,23,0.460,
Davinson_Sánchez,398,17,55,2,25,0.455,
Kevin_Long,85,4,45,2,20,0.444,
Matt_Targett,42,2,45,2,20,0.444,
Adam_Webster,66,3,45,2,19,0.422,
Ahmed_El Mohamady,29,2,45,2,19,0.422,
Kortney_Hause,39,2,45,2,19,0.422,
Jack_Stephens,367,16,50,2,21,0.420,
Luke_Shaw,300,13,50,2,21,0.420,
Seamus_Coleman,152,7,50,2,21,0.420,
Benjamin_Mendy,274,12,60,2,25,0.417,
Patrick_van Aanholt,139,6,55,2,22,0.400,
Antonio_Rüdiger,109,5,50,2,20,0.400,
Kurt_Zouma,110,5,50,2,20,0.400,
Sead_Kolasinac,14,1,50,2,20,0.400,
Marcos_Alonso,104,5,60,2,23,0.383,
Héctor_Bellerín,11,1,50,2,19,0.380,
Ryan_Fredericks,438,19,45,2,17,0.378,
Benjamin_Chilwell,232,5,55,2,20,0.364,
